rank,wins,losses_shown
1,19,2
2,19,3
3,18,4
4,17,3
5,17,4
6,17,2
7,16,3
8,16,4
9,16,4
10,16,1
11,16,4
12,16,4
13,16,4
14,15,5
15,15,5
16,15,4
17,15,5
18,14,5
19,14,5
20,14,5
21,14,5
22,13,5
23,13,5
24,13,5
25,13,5
26,13,5
27,13,5
28,13,5
29,11,5
30,11,5
31,11,5
32,11,5
33,11,5
34,10,5
35,10,5
36,10,5
37,10,5
38,10,5
39,10,5
40,10,5
41,10,5
42,10,5
43,9,5
44,9,5
45,9,5
46,9,5
47,9,5
48,9,5
49,8,5
50,8,5
51,8,5
52,8,5
53,8,5
54,8,5
55,8,5
56,8,5
57,8,5
58,8,5
59,8,5
60,8,5
61,7,5
62,7,5
63,7,5
64,7,5
65,7,5
66,7,5
67,7,5
68,7,5
69,7,5
70,7,5
71,7,5
72,7,5
73,6,5
74,6,5
75,6,5
76,6,5
77,6,5
78,6,5
79,6,5
80,6,5
81,6,5
82,6,5
83,6,5
84,6,5
85,6,5
86,5,5
87,5,5
88,5,5
89,5,5
90,5,5
91,5,5
92,5,5
93,5,5
94,5,5
95,5,5
96,5,5
97,5,5
98,5,5
99,5,5
100,5,5
101,5,5
102,5,4
103,5,4
104,5,4
105,4,5
106,4,5
107,4,5
108,4,5
109,4,5
110,4,5
111,4,4
112,4,4
113,4,4
114,4,4
115,4,5
116,4,5
117,4,4
118,4,4
119,4,4
120,4,4
121,5,3
122,5,3
123,4,5
124,4,5
125,4,4
126,4,5
127,4,4
128,4,5
129,4,5
130,4,5
131,4,4
132,4,4
133,4,4
134,4,5
135,4,5
136,4,4
137,4,4
138,4,5
139,4,4
140,4,4
141,4,4
142,4,5
143,4,5
144,4,5
145,4,5
146,4,5
147,4,5
148,4,5
149,4,5
150,4,5
151,4,3
152,4,4
153,4,3
154,3,5
155,3,5
156,3,5
157,3,5
158,3,5
159,3,5
160,3,5
161,3,5
162,3,4
163,3,5
164,3,5
165,3,5
166,3,5
167,3,5
168,3,4
169,3,4
170,3,5
171,3,3
172,3,3
173,3,3
174,3,5
175,3,3
176,3,4
177,3,3
178,3,5
179,3,5
180,3,5
181,3,5
182,3,5
183,3,5
184,3,4
185,3,4
186,3,5
187,3,5
188,3,5
189,3,5
190,3,5
191,3,3
192,3,4
193,3,3
194,3,5
195,3,5
196,3,5
197,3,5
198,3,5
199,3,4
200,3,3
201,3,5
202,3,5
203,3,5
204,3,5
205,3,5
206,3,5
207,3,5
208,3,5
209,2,5
210,2,5
211,2,5
212,2,4
213,2,5
214,2,5
215,2,3
216,2,5
217,2,5
218,2,5
219,2,5
220,2,5
221,2,5
222,2,5
223,2,5
224,2,5
225,2,5
226,2,5
227,2,3
228,2,4
229,2,4
230,2,5
231,2,5
232,2,4
233,2,5
234,2,5
235,2,5
236,2,5
237,2,5
238,2,5
239,2,5
240,2,5
241,2,5
242,2,5
243,2,5
244,2,5
245,2,3
246,2,5
247,2,4
248,2,4
249,2,4
250,2,5
251,1,5
252,1,5
253,1,5
254,1,5
255,1,5
256,1,5
257,1,4
258,1,3
259,1,4
260,1,5
261,1,5
262,1,4
263,1,5
264,1,5
265,1,5
266,1,5
267,1,5
268,1,4
269,1,3
270,1,4
271,1,3
272,1,3
273,1,2
274,1,3
275,1,3
276,1,1
277,1,5
278,1,5
279,1,4
280,1,4
281,1,5
282,1,5
283,1,5
284,1,5
285,1,5
286,1,5
287,1,4
288,1,4
289,1,4
290,1,5
291,1,3
292,1,3
293,1,3
294,1,3
295,1,5
296,1,4
297,1,3
298,1,3
299,1,2
300,1,1
301,1,1
302,1,3
303,1,2
304,1,4
305,1,2
306,1,2
307,1,3
308,1,1
309,1,1
310,1,1
311,1,1
312,1,2
313,1,1
314,1,1
315,1,1
316,1,2
317,1,1
318,1,1
319,0,5
320,0,5
321,0,5
322,0,5
323,0,5
324,0,5
325,0,5
326,0,5
327,0,5
328,0,4
329,0,3
330,0,3
331,0,4
332,0,3
333,0,3
334,0,3
335,0,3
336,0,3
337,0,3
338,0,3
339,0,3
340,0,3
341,0,3
342,0,3
343,0,3
344,0,3
345,0,3
346,0,3
347,0,3
348,0,3
349,0,3
350,0,3
351,0,2
352,0,3
353,0,3
354,0,3
355,0,2
356,0,2
357,0,2
358,0,1
359,0,1
360,0,1
361,0,1
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
